location,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,population
Canada,1/10/2021,662074,7261,17065,116,885,4525,,,141597,19139670,0.0724,13.8,323497,319545,3952,,23508,38067913
Canada,1/11/2021,669891,7817,17190,125,894,4683,,,121039,19260709,0.0672,14.9,361841,357878,3963,,38344,38067913
Canada,1/12/2021,676433,6542,17338,148,901,4879,,,95175,19355884,0.0654,15.3,393052,387536,5516,,31211,38067913
Canada,1/13/2021,683231,6798,17519,181,924,4868,,,93543,19449427,0.0627,15.9,423365,410079,13286,,30313,38067913
Canada,1/14/2021,690608,7377,17666,147,924,4848,,,120037,19569464,0.0612,16.4,466005,449649,16356,,42640,38067913
Canada,1/15/2021,697384,6776,17843,177,908,4787,,,144244,19713708,0.0575,17.4,515478,496065,19413,,49473,38067913
Canada,1/16/2021,703561,6177,17957,114,910,4706,,,146343,19860051,0.0566,17.7,553360,532763,20597,,37882,38067913
Canada,1/17/2021,709762,6201,18097,140,894,4614,,,141710,20001761,0.0553,18.1,581955,560100,21855,,28595,38067913
Canada,1/18/2021,715921,6159,18222,125,887,4645,,,120599,20122360,0.0534,18.7,623250,600660,22590,,41295,38067913
Canada,1/19/2021,720732,4811,18360,138,890,4683,,,83617,20205977,0.0521,19.2,662635,637795,24840,,39385,38067913
Canada,1/20/2021,726550,5818,18548,188,891,4612,,,79456,20285433,0.0518,19.3,705977,667985,37992,,43342,38067913
Canada,1/21/2021,732676,6126,18688,140,881,4490,,,122456,20407889,0.0502,19.9,749071,705279,43792,,43094,38067913
Canada,1/22/2021,738536,5860,18864,176,874,4395,,,138310,20546199,0.0494,20.2,787098,736970,50128,,38027,38067913
Canada,1/23/2021,743305,4769,18981,117,895,4344,,,142228,20688427,0.048,20.8,814582,760072,54510,,27484,38067913
Canada,1/24/2021,747865,4560,19111,130,888,4204,,,129020,20817447,0.0467,21.4,829258,772089,57169,,14676,38067913
Canada,1/25/2021,753508,5643,19237,126,882,4165,,,106923,20924370,0.0469,21.3,852707,787301,65406,,23449,38067913
Canada,1/26/2021,757704,4196,19380,143,870,4215,,,77462,21001832,0.0465,21.5,882364,808739,73625,,29657,38067913
Canada,1/27/2021,761853,4149,19465,85,880,4087,,,76650,21078482,0.0445,22.5,905482,822307,83175,,23118,38067913
Canada,1/28/2021,766648,4795,19665,200,862,3975,,,123413,21201895,0.0428,23.4,930500,837386,93114,,25018,38067913
Canada,1/29/2021,771329,4681,19802,137,859,3890,,,132951,21334846,0.0416,24,952276,849720,102556,,21776,38067913
Canada,1/30/2021,775450,4121,19943,141,834,3797,,,136926,21471772,0.041,24.4,967430,856362,111068,,15154,38067913
Canada,1/31/2021,779029,3579,20033,90,825,3617,,,121406,21593178,0.0402,24.9,972603,858979,113624,,5173,38067913
Canada,2/1/2021,783730,4701,20137,104,819,3610,,,102060,21695238,0.0392,25.5,990915,872708,118207,,18312,38067913
Canada,2/2/2021,786672,2942,20214,77,799,3649,,,70324,21765562,0.0379,26.4,1002530,879389,123141,,11615,38067913
Canada,2/3/2021,789936,3264,20356,142,788,3486,,,72422,21837984,0.037,27,1016197,883703,132494,,13667,38067913
Canada,2/4/2021,794006,4070,20514,158,770,3432,,,109852,21947836,0.0367,27.3,1035774,890725,145049,,19577,38067913
Canada,2/5/2021,798146,4140,20610,96,758,3312,,,124909,22072745,0.0363,27.5,1059347,900973,158374,,23573,38067913
Canada,2/6/2021,801289,3143,20703,93,747,3188,,,124016,22196761,0.0356,28.1,1080961,908824,172137,,21614,38067913
Canada,2/7/2021,804248,2959,20768,65,750,3058,,,122198,22318959,0.0347,28.8,1094816,914887,179929,,13855,38067913
Canada,2/8/2021,808034,3786,20836,68,742,3029,,,99304,22418263,0.0336,29.7,1116233,925353,190880,,21417,38067913
Canada,2/9/2021,810854,2820,20910,74,702,2997,,,66348,22484611,0.0336,29.7,1143038,934799,208239,,26805,38067913
Canada,2/10/2021,814212,3358,21005,95,697,2975,,,72486,22557097,0.0338,29.6,1172962,944486,228476,,29924,38067913
Canada,2/11/2021,817287,3075,21089,84,667,2816,,,114132,22671229,0.0322,31.1,1206692,957134,249555,3,33730,38067913
Canada,2/12/2021,820468,3181,21163,74,647,2638,,,129621,22800850,0.0307,32.6,1244168,971187,272976,5,37476,38067913
Canada,2/13/2021,823298,2830,21229,66,629,2608,,,121554,22922404,0.0303,33,1278201,983857,294339,5,34033,38067913
Canada,2/14/2021,825543,2245,21294,65,630,2503,,,117756,23040160,0.0295,33.9,1294437,986212,308220,5,16236,38067913
Canada,2/15/2021,827582,2039,21325,31,637,2542,,,98615,23138775,0.0271,36.9,1305088,987931,317152,5,10651,38067913
Canada,2/16/2021,831456,3874,21398,73,646,2531,,,70447,23209222,0.0284,35.2,1331046,996479,334562,5,25958,38067913
Canada,2/17/2021,834043,2587,21436,38,641,2504,,,68521,23277743,0.0275,36.3,1352501,1001415,351081,5,21455,38067913
Canada,2/18/2021,837317,3274,21499,63,612,2497,,,88279,23366022,0.0288,34.7,1380041,1009196,370840,5,27540,38067913
Canada,2/19/2021,840384,3067,21577,78,597,2375,,,120726,23486748,0.029,34.4,1430536,1034975,395554,7,50495,38067913
Canada,2/20/2021,843048,2664,21631,54,574,2335,,,129338,23616086,0.0285,35.1,1482365,1069018,413336,11,51829,38067913
Canada,2/21/2021,845549,2501,21675,44,585,2274,,,112310,23728396,0.0291,34.4,1523672,1097797,425863,12,41307,38067913
Canada,2/22/2021,849245,3696,21724,49,595,2273,,,94745,23823141,0.0317,31.6,1585896,1127804,458079,13,62224,38067913
Canada,2/23/2021,852090,2845,21763,39,604,2360,,,69679,23892820,0.0302,33.1,1635545,1158560,476972,13,49649,38067913
Canada,2/24/2021,854994,2904,21808,45,617,2255,,,69040,23961860,0.0306,32.7,1682122,1190373,491736,13,46577,38067913
Canada,2/25/2021,858039,3045,21866,58,604,2193,,,115846,24077706,0.0291,34.3,1740987,1232120,508854,13,58865,38067913
Canada,2/26/2021,861282,3243,21916,50,605,2163,,,127724,24205430,0.0291,34.4,1809401,1287658,521730,13,68414,38067913
Canada,2/27/2021,863850,2568,21961,45,585,2126,,,122987,24328417,0.0292,34.2,1871736,1341894,529829,13,62335,38067913
Canada,2/28/2021,866002,2152,21995,34,601,2069,,,115600,24444017,0.0286,35,1917698,1382137,535548,13,45962,38067913
Canada,3/1/2021,869572,3570,22018,23,602,2114,,,101453,24545470,0.0281,35.5,1977483,1428486,548984,13,59785,38067913
Canada,3/2/2021,872461,2889,22046,28,604,2166,,,75664,24621134,0.028,35.8,2053042,1493357,559672,13,75559,38067913
Canada,3/3/2021,875228,2767,22106,60,586,2138,,,77132,24698266,0.0275,36.4,2128257,1561481,566763,13,75215,38067913
Canada,3/4/2021,878211,2983,22152,46,584,2111,,,115024,24813290,0.0274,36.5,2207974,1635941,572020,13,79717,38067913
Canada,3/5/2021,881484,3273,22193,41,582,2080,,,125823,24939113,0.0275,36.3,2294574,1718976,575585,13,86600,38067913
Canada,3/6/2021,883805,2321,22214,21,579,2031,,,128656,25067769,0.027,37.1,2368415,1790357,578045,13,73841,38067913
Canada,3/7/2021,886195,2390,22240,26,572,2003,,,112774,25180543,0.0274,36.5,2425632,1845928,579691,13,57217,38067913
Canada,3/8/2021,890355,4160,22277,37,577,2022,,,96855,25277398,0.0284,35.2,2512301,1922552,589736,13,86669,38067913
Canada,3/9/2021,893324,2969,22305,28,594,2086,,,76059,25353457,0.0285,35.1,2583178,1989318,593845,15,70877,38067913
Canada,3/10/2021,896470,3146,22336,31,578,2066,,,76578,25430035,0.029,34.4,2662673,2063397,599261,15,79495,38067913
Canada,3/11/2021,899507,3037,22372,36,580,2046,,,113863,25543898,0.0291,34.3,2761545,2157191,604339,15,98872,38067913
Canada,3/12/2021,903041,3534,22405,33,577,2026,,,120366,25664264,0.0297,33.6,2873952,2266105,607832,15,112407,38067913
Canada,3/13/2021,905894,2853,22435,30,571,2039,,,123598,25787862,0.0307,32.6,2980307,2369462,610828,17,106355,38067913
Canada,3/14/2021,908781,2887,22464,29,576,1935,,,113550,25901412,0.0313,31.9,3073337,2460538,612782,17,93030,38067913
Canada,3/15/2021,912653,3872,22496,32,600,2069,,,94826,25996238,0.031,32.2,3198156,2579970,618169,17,124819,38067913
Canada,3/16/2021,915633,2980,22520,24,601,2128,,,72540,26068778,0.0312,32.1,3320083,2697381,622683,19,121927,38067913
Canada,3/17/2021,919031,3398,22555,35,622,2108,,,72677,26141455,0.0317,31.5,3461496,2833311,628165,20,141413,38067913
Canada,3/18/2021,922700,3669,22591,36,622,2085,,,109185,26250640,0.0328,30.5,3619114,2985249,633845,20,157618,38067913
Canada,3/19/2021,926954,4254,22618,27,627,2102,,,121065,26371705,0.0338,29.6,3784586,3144176,640390,20,165472,38067913
Canada,3/20/2021,930312,3358,22644,26,615,2112,,,120344,26492049,0.0347,28.8,3918531,3272970,645540,21,133945,38067913
Canada,3/21/2021,933598,3286,22677,33,626,2112,,,100779,26592828,0.0359,27.9,4009123,3360361,648741,21,90592,38067913
Canada,3/22/2021,938525,4927,22717,40,627,2193,,,111555,26704383,0.0365,27.4,4155488,3503285,652182,21,146365,38067913
Canada,3/23/2021,942242,3717,22736,19,658,2287,,,73918,26778301,0.0375,26.7,4282355,3625510,656822,23,126867,38067913
Canada,3/24/2021,946536,4294,22760,24,669,2278,,,80180,26858481,0.0384,26.1,4455268,3793318,661926,24,172913,38067913
Canada,3/25/2021,951793,5257,22791,31,663,2293,,,119182,26977663,0.04,25,4646856,3977955,668877,24,191588,38067913
Canada,3/26/2021,956941,5148,22827,36,694,2273,,,132838,27110501,0.0406,24.6,4865929,4188402,677503,24,219073,38067913
Canada,3/27/2021,961295,4354,22853,26,700,2343,,,123165,27233666,0.0418,23.9,5036282,4352254,684003,25,170353,38067913
